dates,start,visitor,pts_visitor,home,pts_home,ot,attendance,arena,urls,id
"Tue, Feb 25, 2020",7:00p,Charlotte Hornets,80,Indiana Pacers,119,,"16,088",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002250IND.html,202002250IND
"Tue, Feb 25, 2020",7:30p,Milwaukee Bucks,108,Toronto Raptors,97,,"19,993",Scotiabank Arena,https://www.basketball-reference.com/boxscores/pbp/202002250TOR.html,202002250TOR
"Tue, Feb 25, 2020",8:00p,Oklahoma City Thunder,124,Chicago Bulls,122,,"16,911",United Center,https://www.basketball-reference.com/boxscores/pbp/202002250CHI.html,202002250CHI
"Tue, Feb 25, 2020",9:00p,Detroit Pistons,98,Denver Nuggets,115,,"19,143",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/202002250DEN.html,202002250DEN
"Tue, Feb 25, 2020",10:00p,New Orleans Pelicans,109,Los Angeles Lakers,118,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/202002250LAL.html,202002250LAL
"Tue, Feb 25, 2020",10:00p,Boston Celtics,118,Portland Trail Blazers,106,,"19,460",Moda Center,https://www.basketball-reference.com/boxscores/pbp/202002250POR.html,202002250POR
"Tue, Feb 25, 2020",10:30p,Sacramento Kings,112,Golden State Warriors,94,,"18,064",Chase Center,https://www.basketball-reference.com/boxscores/pbp/202002250GSW.html,202002250GSW
"Wed, Feb 26, 2020",7:00p,New York Knicks,101,Charlotte Hornets,107,,"13,152",Spectrum Center,https://www.basketball-reference.com/boxscores/pbp/202002260CHO.html,202002260CHO
"Wed, Feb 26, 2020",7:00p,Philadelphia 76ers,94,Cleveland Cavaliers,108,,"16,332",Rocket Mortgage Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002260CLE.html,202002260CLE
"Wed, Feb 26, 2020",7:00p,Brooklyn Nets,106,Washington Wizards,110,,"15,021",Capital One Arena,https://www.basketball-reference.com/boxscores/pbp/202002260WAS.html,202002260WAS
"Wed, Feb 26, 2020",7:30p,Orlando Magic,130,Atlanta Hawks,120,,"14,967",State Farm Arena,https://www.basketball-reference.com/boxscores/pbp/202002260ATL.html,202002260ATL
